"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Michigan State","MSU","DST","1","FA","UtSt Fri 7:00PM","416","29.71","3","100%","0%","14","185","3,532","0","32","0","22","11","17","5","2","0"
"Ohio State","OHSt","DST","2","FA","OreSt Sat 12:00PM","352","25.14","9","100%","0%","14","317","5,284","0","42","2","17","8","16","4","1","0"
"Wisconsin","Wisc","DST","3","FA","W Ky Fri 9:00PM","312","24","5","100%","0%","13","212","3,966","0","25","0","20","11","9","2","0","0"
"Iowa","Iowa","DST","4","FA","NIU Sat 3:30PM","304","23.38","5","0%","0%","13","246","3,940","0","24","0","17","8","13","5","0","0"
"Nebraska","Neb","DST","5","FA","Akr Sat 8:00PM","290","22.31","9","0%","0%","13","323","4,819","0","38","1","18","4","14","5","0","0"
"Maryland","MD","DST","6","FA","Tex Sat 12:00PM","284","21.85","5","0%","0%","13","329","4,887","0","36","2","17","10","11","3","0","0"
"Rutgers","Rut","DST","7","FA","TxSt Sat 12:00PM","276","21.23","9","0%","0%","13","387","5,366","0","32","0","23","10","8","5","0","0"
"Michigan","Mich","DST","8","FA","@ND Sat 7:30PM","260","20","9","100%","0%","13","349","4,829","0","25","0","15","9","17","4","0","0"
"Minnesota","Minn","DST","9","FA","NMSt Thu 7:00PM","252","19.38","5","0%","0%","13","289","4,852","0","18","0","17","9","10","7","1","0"
"Penn State","PSU","DST","10","FA","App Sat 3:30PM","242","20.17","6","100%","0%","12","314","4,576","0","28","0","17","7","13","0","0","0"
"Northwestern","NW","DST","11","FA","@Purd Thu 8:00PM","236","19.67","4","0%","0%","12","325","5,081","0","27","0","11","4","19","4","0","0"
"Purdue","Purd","DST","12","FA","NW Thu 8:00PM","162","13.5","6","100%","0%","12","456","5,519","0","14","1","10","7","13","2","1","0"
"Indiana","Ind","DST","13","FA","@FLInt Sat 7:00PM","158","13.17","10","0%","0%","12","466","6,335","0","20","1","22","10","7","1","0","0"
"Illinois","Ill","DST","14","FA","Kent Sat 12:00PM","138","11.5","5","0%","0%","12","425","5,778","0","15","1","15","8","3","2","0","0"
