"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"Morgan, Teldrick","MD","WR,FLX","Sr","1","FA","Tex Sat 12:00PM","213","19.36","5","0%","0%","11","0","0","0","0","903","7","0","16","0","0","0","442","0"
"Hilliman, Jonathan","Rut","RB,FLX","Sr","2","FA","TxSt Sat 12:00PM","176.5","13.58","9","0%","0%","13","0","0","0","0","5","0","0","860","13","0","0","0","0"
"Dudek, Mike","Ill","WR,FLX","Sr","3","FA","Kent Sat 12:00PM","170.5","13.12","5","0%","0%","13","22","0","0","0","1,038","6","0","73","0","0","0","4","0"
"James, Chris","Wisc","RB,FLX","Sr","4","FA","W Ky Fri 9:00PM","70.5","5.88","5","0%","0%","12","0","0","0","0","23","0","0","437","4","0","0","0","0"
"Harris II, J-Shun","Ind","WR,FLX","Sr","5","FA","@FLInt Sat 7:00PM","66.5","5.54","10","0%","0%","12","0","0","0","0","168","2","0","3","0","0","1","403","0"
"Vault, Solomon","NW","WR,FLX","Sr","6","FA","@Purd Thu 8:00PM","57.5","8.21","4","0%","0%","7","0","0","0","0","31","0","0","81","2","0","0","288","1"
"Macius, Mickey","MSU","QB,FLX","Sr","7","FA","UtSt Fri 7:00PM","51.5","7.36","3","0%","0%","7","530","5","5","0","0","0","0","-71","0","0","0","0","0"
"Edwards, Berkley","Mich","RB,FLX","Sr","8","WW","@ND Sat 7:30PM","25.5","2.55","9","0%","0%","10","0","0","0","0","24","0","0","140","2","0","0","0","0"
"Line, Ben","MSU","RB,FLX","Sr","9","FA","UtSt Fri 7:00PM","6","1.5","3","0%","0%","4","0","0","0","0","0","0","0","1","1","0","0","7","0"
"Dixon, Johnnie","OHSt","WR,FLX","Sr","10","FA","OreSt Sat 12:00PM","2","2","9","0%","0%","1","0","0","0","0","0","0","0","20","0","0","0","0","0"
"Davis III, Felton","MSU","WR,FLX","Sr","11","FA","UtSt Fri 7:00PM","0","0","3","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dobbins, J.K.","OHSt","RB,FLX","So","12","FA","OreSt Sat 12:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fant, Noah","Iowa","TE,FLX","Jr","13","FA","NIU Sat 3:30PM","0","0","5","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Haskins, Dwayne","OHSt","QB,FLX","So","14","FA","OreSt Sat 12:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Higdon, Karan","Mich","RB,FLX","Sr","15","FA","@ND Sat 7:30PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Larkin, Jeremy","NW","RB,FLX","So","16","FA","@Purd Thu 8:00PM","0","0","4","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lewerke, Brian","MSU","QB,FLX","Jr","17","FA","UtSt Fri 7:00PM","0","0","3","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Martinez, Adrian","Neb","QB,FLX","Fr","18","FA","Akr Sat 8:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"McSorley, Trace","PSU","QB,FLX","Sr","19","FA","App Sat 3:30PM","0","0","6","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Morgan Jr., Stanley","Neb","WR,FLX","Sr","20","FA","Akr Sat 8:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Patterson, Shea","Mich","QB,FLX","Jr","21","FA","@ND Sat 7:30PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sanders, Miles","PSU","RB,FLX","Jr","22","FA","App Sat 3:30PM","0","0","6","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Smith, Rodney","Minn","RB,FLX","Sr","23","FA","NMSt Thu 7:00PM","0","0","5","100%","0%","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taylor, Jonathan","Wisc","RB,FLX","So","24","FA","W Ky Fri 9:00PM","0","0","5","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Weber, Mike","OHSt","RB,FLX","Jr","25","FA","OreSt Sat 12:00PM","0","0","9","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Westbrook, Nick","Ind","WR,FLX","Jr","26","FA","@FLInt Sat 7:00PM","0","0","10","100%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Abbott, A.J.","Wisc","WR,FLX","Fr","27","WW","W Ky Fri 9:00PM","0","0","5","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Albericci, Austin","Rut","QB,FLX","Fr","28","WW","TxSt Sat 12:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alexander, Javez","MSU","WR,FLX","Fr","29","FA","UtSt Fri 7:00PM","0","0","3","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alioth Jr., Chad","Neb","WR,FLX","Fr","30","FA","Akr Sat 8:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Allen, Austin","Neb","TE,FLX","Fr","31","FA","Akr Sat 8:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Allen, Mark","PSU","RB,FLX","Sr","32","FA","App Sat 3:30PM","0","0","6","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anderson Jr., Amad","Purd","WR,FLX","Fr","33","FA","NW Thu 8:00PM","0","0","6","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anderson, Drake","NW","RB,FLX","Fr","34","FA","@Purd Thu 8:00PM","0","0","4","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anderson, Evan","Purd","RB,FLX","Fr","35","WW","NW Thu 8:00PM","0","0","6","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrews, Austin","MSU","RB,FLX,DB","So","36","FA","UtSt Fri 7:00PM","0","0","3","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Annexstad, Brock","Minn","WR,FLX","Fr","37","FA","NMSt Thu 7:00PM","0","0","5","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Annexstad, Zack","Minn","QB,FLX","Fr","38","FA","NMSt Thu 7:00PM","0","0","5","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony, Max","Rut","RB,FLX","Jr","39","FA","TxSt Sat 12:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthrop, Jackson","Purd","WR,FLX","So","40","FA","NW Thu 8:00PM","0","0","6","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Arcangelo, Joe","PSU","TE,FLX","Jr","41","FA","App Sat 3:30PM","0","0","6","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armour, Alfred","Purd","RB,FLX","Fr","42","WW","NW Thu 8:00PM","0","0","6","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Autman-Bell, Chris","Minn","WR,FLX","Fr","43","FA","NMSt Thu 7:00PM","0","0","5","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Babb, Kamryn","OHSt","WR,FLX","Fr","44","FA","OreSt Sat 12:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baldwin, Matthew","OHSt","QB,FLX","Fr","45","FA","OreSt Sat 12:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Banker, Christian","Neb","WR,FLX","Fr","46","FA","Akr Sat 8:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Banks, Aaron","Purd","QB,FLX","Sr","47","FA","NW Thu 8:00PM","0","0","6","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barker, Daniel","Ill","TE,FLX","Fr","48","FA","Kent Sat 12:00PM","0","0","5","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barnes, Noah","MD","TE,FLX","So","49","FA","Tex Sat 12:00PM","0","0","5","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barnwell, Elijah","Rut","RB,FLX,LB","Fr","50","FA","TxSt Sat 12:00PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barrett, Michael","Mich","RB,FLX","Fr","51","WW","@ND Sat 7:30PM","0","0","9","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barton, Khylin","MSU","WR,FLX","So","52","FA","UtSt Fri 7:00PM","0","0","3","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
