"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","% Owned"
"Wisconsin","Wisc","DST","","1","FA","W Ky Fri 9:00PM","622","44.43","100%","45.33","5","100%"
"McSorley, Trace","PSU","QB,FLX","Sr","2","FA","App Sat 3:30PM","601","46.23","100%","21.55","6","100%"
"Ohio State","OHSt","DST","","3","FA","OreSt Sat 12:00PM","598","42.71","100%","106.13","9","100%"
"Michigan","Mich","DST","","4","FA","@ND Sat 7:30PM","562","43.23","100%","102.32","9","100%"
"Penn State","PSU","DST","","5","FA","App Sat 3:30PM","549","42.23","100%","101.81","6","100%"
"Northwestern","NW","DST","","6","FA","@Purd Thu 8:00PM","498","38.31","9%","260.4","4","0%"
"Indiana","Ind","DST","","7","FA","@FLInt Sat 7:00PM","448","37.33","4%","348.2","10","0%"
"Lewerke, Brian","MSU","QB,FLX","Jr","8","FA","UtSt Fri 7:00PM","441","33.92","100%","105.69","3","100%"
"Iowa","Iowa","DST","","9","FA","NIU Sat 3:30PM","430","33.08","14%","209.52","5","0%"
"Michigan State","MSU","DST","","10","FA","UtSt Fri 7:00PM","420","32.31","100%","146.32","3","100%"
"Purdue","Purd","DST","","11","FA","NW Thu 8:00PM","410","31.54","4%","363.9","6","100%"
"Thorson, Clayton","NW","QB,FLX","Sr","12","FA","@Purd Thu 8:00PM","384.5","29.58","67%","184.23","4","0%"
"Minnesota","Minn","DST","","13","FA","NMSt Thu 7:00PM","372","31","4%","400.14","5","0%"
"Taylor, Jonathan","Wisc","RB,FLX","So","14","FA","W Ky Fri 9:00PM","370.5","26.46","100%","7.23","5","100%"
"Stanley, Nate","Iowa","QB,FLX","Jr","15","FA","NIU Sat 3:30PM","343.5","26.42","100%","122.28","5","0%"
"Hornibrook, Alex","Wisc","QB,FLX","Jr","16","FA","W Ky Fri 9:00PM","338.5","24.18","100%","49.71","5","0%"
"Patterson, Shea","Mich","QB,FLX","Jr","17","FA","@ND Sat 7:30PM","320.5","45.79","100%","128.46","9","100%"
"Illinois","Ill","DST","","18","FA","Kent Sat 12:00PM","302","25.17","0%","-","5","0%"
"Maryland","MD","DST","","19","FA","Tex Sat 12:00PM","300","25","0%","-","5","0%"
"Bailey, Markus","Purd","LB","Jr","20","FA","NW Thu 8:00PM","295.7","22.75","0%","-","6","-"
"Rutgers","Rut","DST","","21","FA","TxSt Sat 12:00PM","294","24.5","0%","-","9","0%"
"Winovich, Chase","Mich","DL","Sr","22","FA","@ND Sat 7:30PM","291","22.38","100%","175","9","-"
"Barber, Thomas","Minn","LB","Jr","23","FA","NMSt Thu 7:00PM","283","23.58","0%","-","5","-"
"Hudson, Khaleke","Mich","LB,DB","Jr","24","FA","@ND Sat 7:30PM","282.2","21.71","100%","43","9","-"
"Nebraska","Neb","DST","","25","FA","Akr Sat 8:00PM","282","23.5","4%","495.5","9","0%"
"Bush, Devin","Mich","LB","Jr","26","FA","@ND Sat 7:30PM","275","21.15","100%","184","9","-"
"Hall, Nate","NW","LB","Sr","27","FA","@Purd Thu 8:00PM","274.8","22.9","0%","-","4","-"
"Sindelar, Elijah","Purd","QB,FLX","Jr","28","FA","NW Thu 8:00PM","272","22.67","0%","-","6","0%"
"Bachie, Joe","MSU","LB","Jr","29","FA","UtSt Fri 7:00PM","266","20.46","100%","248","3","-"
"Connelly, Ryan","Wisc","LB","Sr","30","FA","W Ky Fri 9:00PM","266","19","0%","-","5","-"
"Fisher, Paddy","NW","LB","So","31","FA","@Purd Thu 8:00PM","261.9","20.15","0%","-","4","-"
"Edwards, T.J.","Wisc","LB","Sr","32","FA","W Ky Fri 9:00PM","249.8","17.84","100%","131","5","-"
"Morris, Trevor","Rut","LB","Sr","33","FA","TxSt Sat 12:00PM","247.5","20.62","0%","-","9","-"
"Dobbins, J.K.","OHSt","RB,FLX","So","34","FA","OreSt Sat 12:00PM","241","17.21","100%","23.28","9","100%"
"Johnson, Ty","MD","RB,FLX","Sr","35","FA","Tex Sat 12:00PM","229.5","19.12","100%","136.08","5","0%"
"Willekes, Kenny","MSU","DL","Jr","36","FA","UtSt Fri 7:00PM","226","17.38","0%","-","3","-"
"Brooks, Jr., Antoine","MD","DB","Jr","37","FA","Tex Sat 12:00PM","221.1","18.43","0%","-","5","-"
"Higdon, Karan","Mich","RB,FLX","Sr","38","FA","@ND Sat 7:30PM","206","15.85","100%","91.65","9","100%"
"Roberts, Deonte","Rut","LB","Sr","39","FA","TxSt Sat 12:00PM","206","17.17","0%","-","9","-"
"Thieneman, Jacob","Purd","DB","Sr","40","FA","NW Thu 8:00PM","205","15.77","0%","-","6","-"
"Spielman, JD","Neb","WR,FLX","So","41","FA","Akr Sat 8:00PM","203","18.45","100%","179.14","9","0%"
"Gary, Rashan","Mich","DL","Jr","42","FA","@ND Sat 7:30PM","202.5","15.58","100%","253","9","-"
"Bosa, Nick","OHSt","DL","Jr","43","FA","OreSt Sat 12:00PM","201.5","14.39","100%","127","9","-"
"Willis, Khari","MSU","DB","Sr","44","FA","UtSt Fri 7:00PM","200.5","15.42","0%","-","3","-"
"Van Ginkel, Andrew","Wisc","LB","Sr","45","FA","W Ky Fri 9:00PM","195.1","13.94","0%","-","5","-"
"Gaziano, Joe","NW","DL","Jr","46","FA","@Purd Thu 8:00PM","193","16.08","100%","259","4","-"
"Phillips, Del'Shawn","Ill","LB","Sr","47","FA","Kent Sat 12:00PM","189.5","17.23","0%","-","5","-"
"Ramsey, Peyton","Ind","QB,FLX","So","48","FA","@FLInt Sat 7:00PM","182.5","22.81","0%","-","10","0%"
"Morgan Jr., Stanley","Neb","WR,FLX","Sr","49","FA","Akr Sat 8:00PM","182","16.55","100%","61.13","9","100%"
"Smith, Rodney","Minn","RB,FLX","Sr","50","FA","NMSt Thu 7:00PM","178.5","14.88","100%","70.77","5","100%"
"Young II, Dedrick","Neb","LB","Sr","51","FA","Akr Sat 8:00PM","178","14.83","0%","-","9","-"
"Kinnel, Tyree","Mich","DB","Sr","52","FA","@ND Sat 7:30PM","177.3","13.64","0%","-","9","-"
"Dawkins, Brandon","Ind","QB,FLX","Sr","53","FA","@FLInt Sat 7:00PM","177","25.29","13%","239.01","10","0%"
"Dowell, Andrew","MSU","LB","Sr","54","FA","UtSt Fri 7:00PM","175.5","13.5","0%","-","3","-"
"Neal, Tre","Neb","DB","Sr","55","WW","Akr Sat 8:00PM","173.4","13.34","0%","-","9","-"
"Nelson, Anthony","Iowa","DL","Jr","56","FA","NIU Sat 3:30PM","171.5","15.59","0%","-","5","-"
"Huff, Jacob","Minn","DB","Sr","57","FA","NMSt Thu 7:00PM","170.2","14.18","0%","-","5","-"
"Watson, Tre","MD","LB","Sr","58","FA","Tex Sat 12:00PM","169.6","18.84","0%","-","5","-"
"Fuller, Jordan","OHSt","DB","Jr","59","FA","OreSt Sat 12:00PM","169.1","13.01","0%","-","9","-"
"Hesse, Parker","Iowa","DL","Sr","60","FA","NIU Sat 3:30PM","168.8","12.98","0%","-","5","-"
"Coughlin, Carter","Minn","LB","Jr","61","FA","NMSt Thu 7:00PM","168","14","0%","-","5","-"
"Scott, LJ","MSU","RB,FLX","Sr","62","FA","UtSt Fri 7:00PM","167","13.92","100%","111.62","3","0%"
"Miller, Shareef","PSU","DL","Jr","63","FA","App Sat 3:30PM","163.5","12.58","0%","-","6","-"
"Bortenschlager, Max","MD","QB,FLX","Jr","64","FA","Tex Sat 12:00PM","162","14.73","0%","-","5","0%"
"Savage, Jr., Darnell","MD","DB","Sr","65","FA","Tex Sat 12:00PM","157.3","13.11","0%","-","5","-"
"Williams, Bennett","Ill","DB","So","66","FA","Kent Sat 12:00PM","154.5","15.45","0%","-","5","-"
"Blough, David","Purd","QB,FLX","Sr","67","FA","NW Thu 8:00PM","153","17","0%","-","6","0%"
"Roundtree, Bobby","Ill","DL","So","68","FA","Kent Sat 12:00PM","153","13.91","0%","-","5","-"
"Shenault, Antonio","Minn","DB","Sr","69","FA","NMSt Thu 7:00PM","150.5","15.05","0%","-","5","-"
"Davis III, Felton","MSU","WR,FLX","Sr","70","FA","UtSt Fri 7:00PM","149.5","13.59","100%","99.7","3","100%"
"Weber, Mike","OHSt","RB,FLX","Jr","71","FA","OreSt Sat 12:00PM","149.5","12.46","100%","108.41","9","100%"
"Miller, Samdup","NW","DL","So","72","FA","@Purd Thu 8:00PM","149.3","12.44","0%","-","4","-"
"Davis, Isaiah","MD","LB","Jr","73","FA","Tex Sat 12:00PM","148","12.33","0%","-","5","-"
"Green, Stanley","Ill","DB","Jr","74","FA","Kent Sat 12:00PM","147.9","16.43","0%","-","5","-"
"Mosley, Navon","Purd","DB","Jr","75","FA","NW Thu 8:00PM","146.7","11.28","0%","-","6","-"
"Gervase, Jake","Iowa","DB","Sr","76","FA","NIU Sat 3:30PM","146.4","12.2","0%","-","5","-"
"Dixon, D'Cota","Wisc","DB","Sr","77","FA","W Ky Fri 9:00PM","144.9","12.08","0%","-","5","-"
"Borland, Tuf","OHSt","LB","So","78","FA","OreSt Sat 12:00PM","139","12.64","0%","-","9","-"
"Crawford, Jonathan","Ind","DB","Sr","79","FA","@FLInt Sat 7:00PM","138","11.5","0%","-","10","-"
"Hartage, Montre","NW","DB","Sr","80","FA","@Purd Thu 8:00PM","138","10.62","0%","-","4","-"
"Dowell, David","MSU","DB","Jr","81","FA","UtSt Fri 7:00PM","137.8","11.48","0%","-","3","-"
"Hooker, Amani","Iowa","DB","Jr","82","FA","NIU Sat 3:30PM","133","16.62","0%","-","5","-"
"Evans, Chris","Mich","RB,FLX","Jr","83","FA","@ND Sat 7:30PM","132.5","10.19","100%","169.99","9","0%"
"George, Jeff","Mich","QB,FLX","Sr","84","WW","@ND Sat 7:30PM","132.5","18.93","0%","-","9","0%"
"Orr, Chris","Wisc","LB","Jr","85","FA","W Ky Fri 9:00PM","131.3","14.59","0%","-","5","-"
"Martin, Kamal","Minn","LB","Jr","86","FA","NMSt Thu 7:00PM","128","10.67","0%","-","5","-"
"Bowen, Manny","PSU","LB","Sr","87","WW","App Sat 3:30PM","124","13.78","0%","-","6","-"
"Campbell, Parris","OHSt","WR,FLX","Sr","88","FA","OreSt Sat 12:00PM","122.5","9.42","100%","119.56","9","0%"
"Williams, Aaron","Neb","DB","Sr","89","FA","Akr Sat 8:00PM","122.1","13.57","0%","-","9","-"
"Farmer, Koa","PSU","LB","Sr","90","FA","App Sat 3:30PM","120.5","9.27","0%","-","6","-"
"Johnson, Tyler","Minn","WR,FLX","Jr","91","FA","NMSt Thu 7:00PM","120","12","100%","198.21","5","0%"
"Gaglianone, Rafael","Wisc","K","Sr","92","FA","W Ky Fri 9:00PM","119.5","8.54","100%","172.66","5","0%"
"Davis, Carlos","Neb","DL","Jr","93","FA","Akr Sat 8:00PM","119.5","9.96","0%","-","9","-"
"Ellison, Morgan","Ind","RB,FLX","So","94","FA","@FLInt Sat 7:00PM","118","10.73","68%","270","10","0%"
"Knox, D.J.","Purd","RB,FLX","Sr","95","FA","NW Thu 8:00PM","118","9.08","0%","-","6","0%"
"Nuernberger, Sean","OHSt","K","Sr","96","FA","OreSt Sat 12:00PM","115.5","8.25","100%","115.08","9","100%"
"Fant, Noah","Iowa","TE,FLX","Jr","97","FA","NIU Sat 3:30PM","115","9.58","100%","57.4","5","100%"
"Stille, Ben","Neb","DL,LB","So","98","FA","Akr Sat 8:00PM","114.5","12.72","0%","-","9","-"
"Hilliman, Jonathan","Rut","RB,FLX","Sr","99","FA","TxSt Sat 12:00PM","113.5","8.73","62%","-","9","0%"
"Gifford, Luke","Neb","LB","Sr","100","FA","Akr Sat 8:00PM","113.2","16.17","0%","-","9","-"
"Hobbs, Nate","Ill","DB","So","101","FA","Kent Sat 12:00PM","111.5","9.29","0%","-","5","-"
"Arnette, Damon","OHSt","DB","Jr","102","FA","OreSt Sat 12:00PM","111","9.25","0%","-","9","-"
"Oliver, Tymir","Ill","DL","Jr","103","FA","Kent Sat 12:00PM","110","10","0%","-","5","-"
"Brooks, Shannon","Minn","RB,FLX","Sr","104","FA","NMSt Thu 7:00PM","108.5","18.08","0%","-","5","0%"
"Metellus, Josh","Mich","DB","Jr","105","FA","@ND Sat 7:30PM","107.5","8.27","0%","-","9","-"
"Taylor, A.J.","Wisc","WR,FLX","Jr","106","FA","W Ky Fri 9:00PM","107","7.64","0%","-","5","0%"
"Harrison, Malik","OHSt","LB","Jr","107","FA","OreSt Sat 12:00PM","107","8.92","0%","-","9","-"
"Wilkins, Kevin","Rut","DL","Sr","108","FA","TxSt Sat 12:00PM","107","8.92","0%","-","9","-"
"Nordin, Quinn","Mich","K","Jr","109","FA","@ND Sat 7:30PM","106","8.15","96%","176.46","9","0%"
"Robinson, Jacob","Ind","DL","Sr","110","FA","@FLInt Sat 7:00PM","104.5","10.45","0%","-","10","-"
"Jacobs, Taivon","MD","WR,FLX","Sr","111","FA","Tex Sat 12:00PM","103.5","8.62","13%","268.6","5","0%"
"Booker, Dante","OHSt","LB","Sr","112","FA","OreSt Sat 12:00PM","103.5","11.5","0%","-","9","-"
"Blackshear, Raheem","Rut","RB,FLX","So","113","FA","TxSt Sat 12:00PM","102.5","10.25","7%","344.2","9","0%"
"Hill, K.J.","OHSt","WR,FLX","Jr","114","FA","OreSt Sat 12:00PM","102.5","7.32","77%","93.43","9","0%"
"Hayes, Damon","Rut","DB","Jr","115","FA","TxSt Sat 12:00PM","101","8.42","0%","-","9","-"
"Williams, Raequan","MSU","DL","Jr","116","FA","UtSt Fri 7:00PM","101","7.77","0%","-","3","-"
"Hester, Kiy","Rut","DB","Sr","117","WW","TxSt Sat 12:00PM","100.5","10.05","0%","-","9","-"
"Reed, Antonio","Neb","DB","Sr","118","FA","Akr Sat 8:00PM","98.4","14.06","0%","-","9","-"
"Thompkins, DeAndre","PSU","WR,FLX","Sr","119","FA","App Sat 3:30PM","98","7.54","3%","365.5","6","0%"
"Larkin, Jeremy","NW","RB,FLX","So","120","FA","@Purd Thu 8:00PM","97","7.46","100%","66.6","4","100%"
"Watkins, Cameron","Ill","DB","Jr","121","FA","Kent Sat 12:00PM","96","9.6","0%","-","5","-"
"Skowronek, Bennett","NW","WR,FLX","Jr","122","FA","@Purd Thu 8:00PM","95.5","7.35","12%","-","4","0%"
"Cashman, Blake","Minn","LB","Sr","123","FA","NMSt Thu 7:00PM","95","9.5","0%","-","5","-"
"Toney, Shaka","PSU","DL","So","124","FA","App Sat 3:30PM","94","10.44","0%","-","6","-"
"Coghlin, Matt","MSU","K","So","125","FA","UtSt Fri 7:00PM","93","7.15","11%","-","3","0%"
"Davis, RaVon","MD","DB","Sr","126","FA","Tex Sat 12:00PM","92.5","9.25","0%","-","5","-"
"Furbush, Noah","Mich","LB","Sr","127","FA","@ND Sat 7:30PM","92.2","8.38","0%","-","9","-"
"Hughes, Casey","Mich","DB","Sr","128","WW","@ND Sat 7:30PM","92","8.36","0%","-","9","-"
"Dixon, Johnnie","OHSt","WR,FLX","Sr","129","FA","OreSt Sat 12:00PM","91.5","10.17","3%","350.91","9","0%"
"Navarro, Donny","Ill","WR,FLX","So","130","FA","Kent Sat 12:00PM","90","8.18","0%","-","5","0%"
"Stallings IV, Allen","Ind","DL","Jr","131","FA","@FLInt Sat 7:00PM","90","8.18","0%","-","10","-"
"Stewart Jr., Darrell","MSU","WR,FLX","Jr","132","FA","UtSt Fri 7:00PM","89","6.85","6%","386.1","3","0%"
"Layne, Justin","MSU","DB","Jr","133","FA","UtSt Fri 7:00PM","88","7.33","0%","-","3","-"
"Hill, Lavert","Mich","DB","Jr","134","FA","@ND Sat 7:30PM","87.9","9.77","100%","261","9","-"
"Goens, Trent","NW","DL","Jr","135","FA","@Purd Thu 8:00PM","87.5","10.94","0%","-","4","-"
"Cephus, Quintez","Wisc","WR,FLX","Jr","136","FA","W Ky Fri 9:00PM","87","8.7","9%","259.28","5","0%"
"Sheffield, Kendall","OHSt","DB","Jr","137","FA","OreSt Sat 12:00PM","87","6.69","0%","-","9","-"
"Givens, Kevin","PSU","DL","Jr","138","FA","App Sat 3:30PM","86.5","8.65","0%","-","6","-"
"Recinos, Miguel","Iowa","K","Sr","139","FA","NIU Sat 3:30PM","86","6.62","0%","-","5","0%"
"Carpenter, Emmit","Minn","K","Sr","140","FA","NMSt Thu 7:00PM","84.5","7.68","0%","-","5","0%"
"Stevens, Tommy","PSU","QB,FLX","Jr","141","FA","App Sat 3:30PM","84.5","10.56","0%","-","6","0%"
"Thompson, Jordan","NW","DL","Sr","142","FA","@Purd Thu 8:00PM","84","8.4","0%","-","4","-"
"Anthrop, Jackson","Purd","WR,FLX","So","143","FA","NW Thu 8:00PM","83.5","6.42","10%","-","6","0%"
"Harrison III, Lorenzo","MD","RB,FLX","Jr","144","FA","Tex Sat 12:00PM","83.5","6.96","0%","-","5","0%"
"Epenesa, A.J.","Iowa","DL","So","145","FA","NIU Sat 3:30PM","83.5","7.59","0%","-","5","-"
"Brown Jr., Andre","Ind","DB","Jr","146","FA","@FLInt Sat 7:00PM","83.2","8.32","0%","-","10","-"
"Kuhbander, Charlie","NW","K","So","147","FA","@Purd Thu 8:00PM","83","6.38","0%","-","4","0%"
"White, Cody","MSU","WR,FLX","So","148","FA","UtSt Fri 7:00PM","83","7.55","0%","-","3","0%"
"Jones, Markell","Purd","RB,FLX","Sr","149","FA","NW Thu 8:00PM","82.5","8.25","7%","-","6","0%"
"Oruwariye, Amani","PSU","DB","Sr","150","FA","App Sat 3:30PM","81.7","7.43","0%","-","6","-"
"Kelly-Martin, Ivory","Iowa","RB,FLX","So","151","FA","NIU Sat 3:30PM","81","7.36","15%","355.21","5","0%"
"Ozigbo, Devine","Neb","RB,FLX","Sr","152","FA","Akr Sat 8:00PM","79.5","7.95","5%","-","9","0%"
"Timian, Luke","Ind","WR,FLX","Sr","153","FA","@FLInt Sat 7:00PM","79.5","6.62","59%","-","10","0%"
"Johnson, Juwan","PSU","WR,FLX","Jr","154","FA","App Sat 3:30PM","78.5","6.04","100%","103.77","6","0%"
"Barry, Mohamed","Neb","LB","Jr","155","FA","Akr Sat 8:00PM","78.5","7.14","0%","-","9","-"
"McLaurin, Terry","OHSt","WR,FLX","Sr","156","FA","OreSt Sat 12:00PM","78","6","0%","-","9","0%"
"Bateky, Jon","Rut","DL","Sr","157","FA","TxSt Sat 12:00PM","77.5","8.61","0%","-","9","-"
"Wilbon, Mikale","Neb","RB,FLX","Sr","158","FA","Akr Sat 8:00PM","76.5","6.95","0%","-","9","0%"
"Jackson, Lamar","Neb","DB","Jr","159","FA","Akr Sat 8:00PM","76","6.91","0%","-","9","-"
"Stoltenberg, Mick","Neb","DL","Sr","160","FA","Akr Sat 8:00PM","75.5","6.86","0%","-","9","-"
"Scott, Nick","PSU","DB","Sr","161","FA","App Sat 3:30PM","75.3","6.27","0%","-","6","-"
"Morrissey, Matt","MSU","DB","Sr","162","FA","UtSt Fri 7:00PM","75","7.5","0%","-","3","-"
"Scott, Josiah","MSU","DB","So","163","FA","UtSt Fri 7:00PM","75","6.25","0%","-","3","-"
"Long, David","Mich","DB","Jr","164","FA","@ND Sat 7:30PM","74.5","6.77","100%","187","9","-"
"Sagapolu, Olive","Wisc","DL","Sr","165","FA","W Ky Fri 9:00PM","74.5","6.77","0%","-","5","-"
"Miller, Alex","NW","DL","Jr","166","FA","@Purd Thu 8:00PM","74","6.17","0%","-","4","-"
"Wharton, Isaiah","Rut","DB","Sr","167","FA","TxSt Sat 12:00PM","74","6.17","0%","-","9","-"
"Victor, Binjimen","OHSt","WR,FLX","Jr","168","FA","OreSt Sat 12:00PM","73","8.11","10%","-","9","0%"
"Neal, Lorenzo","Purd","DL","Jr","169","FA","NW Thu 8:00PM","73","7.3","0%","-","6","-"
"Young, Chase","OHSt","DL","So","170","FA","OreSt Sat 12:00PM","73","8.11","0%","-","9","-"
"Barwick, Mike","Ind","DL","Sr","171","FA","@FLInt Sat 7:00PM","72","6.55","0%","-","10","-"
"Davis III, Danny","Wisc","WR,FLX","So","172","FA","W Ky Fri 9:00PM","71.5","7.15","3%","305.1","5","0%"
"Kulka, Brett","MD","DL","Sr","173","FA","Tex Sat 12:00PM","71","7.89","0%","-","5","-"
"Simmons, Antjuan","MSU","LB","So","174","FA","UtSt Fri 7:00PM","69.5","5.79","0%","-","3","-"
"Easley, Nick","Iowa","WR,FLX","Sr","175","FA","NIU Sat 3:30PM","68.5","5.27","0%","-","5","0%"
"Gallagher, Blake","NW","LB","So","176","FA","@Purd Thu 8:00PM","68.5","6.23","0%","-","4","-"
"Epstein, Mike","Ill","RB,FLX","So","177","FA","Kent Sat 12:00PM","68","13.6","100%","139.79","5","0%"
"Dismuke, Marquel","Neb","DB","So","178","FA","Akr Sat 8:00PM","68","8.5","0%","-","9","-"
"Hampton, Saquan","Rut","DB","Sr","179","FA","TxSt Sat 12:00PM","68","9.71","0%","-","9","-"
"Gay, Isaiah","Ill","DL","So","180","FA","Kent Sat 12:00PM","67","7.44","0%","-","5","-"
"Carriere-Williams, Dontye","Wisc","DB","So","181","FA","W Ky Fri 9:00PM","66","5.5","0%","-","5","-"
"Smalling, Ricky","Ill","WR,FLX","So","182","FA","Kent Sat 12:00PM","65.5","5.95","1%","407.2","5","0%"
"Windsor, Robert","PSU","DL","Jr","183","FA","App Sat 3:30PM","65.5","5.95","0%","-","6","-"
"Peters, Brandon","Mich","QB,FLX","Jr","184","FA","@ND Sat 7:30PM","65","10.83","0%","-","9","0%"
"Worship, Richie","Purd","RB,FLX","Jr","185","FA","NW Thu 8:00PM","64.5","6.45","0%","-","6","0%"
"Brown, Cam","PSU","LB","Jr","186","FA","App Sat 3:30PM","64","5.33","0%","-","6","-"
"Harding, Dele","Ill","LB","Jr","187","FA","Kent Sat 12:00PM","64","9.14","0%","-","5","-"
