"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","FRTDY","Int","IntYd","Sk","SkY","Tk","Stf","StY","Sft","RtTY","BFGTDY","TD"
"Bailey, Markus","Purd","LB","Jr","1","FA","NW Thu 8:00PM","295.7","22.75","6","-","-","13","0","1","22","7.0","56","89","11","63","0","0","0","0"
"Winovich, Chase","Mich","DL","Sr","2","FA","@ND Sat 7:30PM","291","22.38","9","-","-","13","0","0","0","9.0","64","68","20.5","92","0","0","0","0"
"Barber, Thomas","Minn","LB","Jr","3","FA","NMSt Thu 7:00PM","283","23.58","5","-","-","12","0","1","0","1.5","10","115","10.5","30","0","0","0","0"
"Hudson, Khaleke","Mich","LB,DB","Jr","4","FA","@ND Sat 7:30PM","282.2","21.71","9","-","-","13","0","2","22","6.5","45","77","15","71","0","0","0","0"
"Bush, Devin","Mich","LB","Jr","5","FA","@ND Sat 7:30PM","275","21.15","9","-","-","13","0","1","0","5.5","40","92","10","46","0","0","0","0"
"Hall, Nate","NW","LB","Sr","6","FA","@Purd Thu 8:00PM","274.8","22.9","4","-","-","12","0","2","18","5.0","28","81","17.5","60","0","0","0","0"
"Bachie, Joe","MSU","LB","Jr","7","FA","UtSt Fri 7:00PM","266","20.46","3","-","-","13","0","3","15","2.5","15","100","7.5","28","0","0","0","0"
"Connelly, Ryan","Wisc","LB","Sr","8","FA","W Ky Fri 9:00PM","266","19","5","-","-","14","0","1","5","3.0","36","88","11","63","0","0","0","0"
"Fisher, Paddy","NW","LB","So","9","FA","@Purd Thu 8:00PM","261.9","20.15","4","-","-","13","0","1","4","0.0","0","111","9.5","29","0","0","0","0"
"Edwards, T.J.","Wisc","LB","Sr","10","FA","W Ky Fri 9:00PM","249.8","17.84","5","-","-","14","0","4","63","2.0","11","81","11","32","0","0","0","1"
"Morris, Trevor","Rut","LB","Sr","11","FA","TxSt Sat 12:00PM","247.5","20.62","9","-","-","12","0","0","0","0.5","0","115","6","7","0","0","0","0"
"Willekes, Kenny","MSU","DL","Jr","12","FA","UtSt Fri 7:00PM","226","17.38","3","-","-","13","0","0","0","6.5","27","71","13","37","0","0","0","0"
"Brooks, Jr., Antoine","MD","DB","Jr","13","FA","Tex Sat 12:00PM","221.1","18.43","5","-","-","12","0","2","0","1.0","10","77","9.5","28","0","0","71","1"
"Roberts, Deonte","Rut","LB","Sr","14","FA","TxSt Sat 12:00PM","206","17.17","9","-","-","12","0","0","0","0.0","0","96","5.5","6","0","0","0","0"
"Thieneman, Jacob","Purd","DB","Sr","15","FA","NW Thu 8:00PM","205","15.77","6","-","-","13","0","2","0","2.0","13","80","5","17","0","0","0","0"
"Gary, Rashan","Mich","DL","Jr","16","FA","@ND Sat 7:30PM","202.5","15.58","9","-","-","13","0","0","0","5.5","33","57","12","52","0","0","0","0"
"Bosa, Nick","OHSt","DL","Jr","17","FA","OreSt Sat 12:00PM","201.5","14.39","9","-","-","14","0","0","0","8.5","61","34","16","74","0","0","0","0"
"Willis, Khari","MSU","DB","Sr","18","FA","UtSt Fri 7:00PM","200.5","15.42","3","-","-","13","0","2","20","3.0","17","71","5.5","26","0","0","0","0"
