"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","Bye","% Owned","+/-","GP","PA","YdA","Stf","Sk","Sft","FF","FR","Int","TDDST","XPB","FGBA"
"Wisconsin","Wisc","DST","1","FA","W Ky Fri 9:00PM","367.6","30.63","5","100%","+100%","12","165","2988","0","41","1","12","6.8","12","5","0","0"
"Michigan","Mich","DST","2","FA","@ND Sat 7:30PM","299.3","24.94","9","100%","+100%","12","220","3282","0","41","2","16","4.3","7.2","4","0","0"
"Penn State","PSU","DST","3","FA","App Sat 3:30PM","291.8","24.32","6","100%","+100%","12","205","4062","0","40","1","17","11.9","8","4","0","0"
"Ohio State","OHSt","DST","4","FA","OreSt Sat 12:00PM","291.6","24.3","9","100%","+100%","12","233","3501","0","38","2","11","6.8","8","4","0","0"
"Michigan State","MSU","DST","5","FA","UtSt Fri 7:00PM","251.2","20.93","3","100%","+100%","12","240","3737","0","29","0","15","6.8","10.4","2","0","0"
"Iowa","Iowa","DST","6","FA","NIU Sat 3:30PM","245.6","20.47","5","0%","0%","12","263","4418","0","30","1","13","3.4","15.2","3","0","0"
"Northwestern","NW","DST","7","FA","@Purd Thu 8:00PM","235.6","19.63","4","0%","0%","12","262","4523","0","33","0","15","6.8","12","1","0","0"
"Indiana","Ind","DST","8","FA","@FLInt Sat 7:00PM","233.6","19.47","10","0%","0%","12","334","4182","0","39","1","17","6.8","4","3","0","0"
"Purdue","Purd","DST","9","FA","NW Thu 8:00PM","203.8","16.98","6","100%","+100%","12","255","4642","0","28","0","12","8.5","7.2","1","0","0"
"Minnesota","Minn","DST","10","FA","NMSt Thu 7:00PM","190.6","15.88","5","0%","0%","12","301","4245","0","25","0","16","8.5","6.4","3","0","0"
"Illinois","Ill","DST","11","FA","Kent Sat 12:00PM","167.8","13.98","5","0%","0%","12","416","5104","0","21","1","21","8.5","7.2","2","0","0"
"Rutgers","Rut","DST","12","FA","TxSt Sat 12:00PM","137.5","11.46","9","0%","0%","12","374","4912","0","17","0","12","2.5","9.6","2","0","0"
"Maryland","MD","DST","13","FA","Tex Sat 12:00PM","114.2","9.52","5","0%","0%","12","490","5170","0","18","0","12","5.1","8","2","0","0"
"Nebraska","Neb","DST","14","FA","Akr Sat 8:00PM","113.9","9.49","9","0%","0%","12","481","5345","0","15","1","15","2.5","7.2","3","0","0"
