"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","% Owned"
"Haskins, Dwayne","OHSt","QB,FLX","So","1","FA","OreSt Sat 12:00PM","574","47.83","100%","35.07","9","100%"
"McSorley, Trace","PSU","QB,FLX","Sr","2","FA","App Sat 3:30PM","518","43.17","100%","21.55","6","100%"
"Lewerke, Brian","MSU","QB,FLX","Jr","3","FA","UtSt Fri 7:00PM","496","41.33","100%","105.69","3","100%"
"Martinez, Adrian","Neb","QB,FLX","Fr","4","FA","Akr Sat 8:00PM","456","38","100%","143.75","9","100%"
"Patterson, Shea","Mich","QB,FLX","Jr","5","FA","@ND Sat 7:30PM","432","36","100%","128.46","9","100%"
"Taylor, Jonathan","Wisc","RB,FLX","So","6","FA","W Ky Fri 9:00PM","378","31.5","100%","7.23","5","100%"
"Thorson, Clayton","NW","QB,FLX","Sr","7","FA","@Purd Thu 8:00PM","368","36.8","67%","184.23","4","0%"
"Stanley, Nate","Iowa","QB,FLX","Jr","8","FA","NIU Sat 3:30PM","352","29.33","100%","122.28","5","0%"
"Hornibrook, Alex","Wisc","QB,FLX","Jr","9","FA","W Ky Fri 9:00PM","336","28","100%","49.71","5","0%"
"Dobbins, J.K.","OHSt","RB,FLX","So","10","FA","OreSt Sat 12:00PM","300","25","100%","23.28","9","100%"
"Thomas, Cam","Ill","QB,FLX","So","11","FA","Kent Sat 12:00PM","292","24.33","0%","-","5","0%"
"Pigrome, Tyrrell","MD","QB,FLX","So","12","FA","Tex Sat 12:00PM","274","30.44","68%","234","5","0%"
"Dawkins, Brandon","Ind","QB,FLX","Sr","13","FA","@FLInt Sat 7:00PM","258","32.25","13%","239.01","10","0%"
"Larkin, Jeremy","NW","RB,FLX","So","14","FA","@Purd Thu 8:00PM","246","20.5","100%","66.6","4","100%"
"Sindelar, Elijah","Purd","QB,FLX","Jr","15","FA","NW Thu 8:00PM","244","27.11","0%","-","6","0%"
"Sitkowski, Artur","Rut","QB,FLX","Fr","16","FA","TxSt Sat 12:00PM","242","20.17","0%","-","9","0%"
"Sanders, Miles","PSU","RB,FLX","Jr","17","FA","App Sat 3:30PM","228","19","100%","56.81","6","100%"
"Smith, Rodney","Minn","RB,FLX","Sr","18","FA","NMSt Thu 7:00PM","228","19","100%","70.77","5","100%"
"Ramsey, Peyton","Ind","QB,FLX","So","19","FA","@FLInt Sat 7:00PM","210","23.33","0%","-","10","0%"
"Higdon, Karan","Mich","RB,FLX","Sr","20","FA","@ND Sat 7:30PM","180","15","100%","91.65","9","100%"
"Westbrook, Nick","Ind","WR,FLX","Jr","21","FA","@FLInt Sat 7:00PM","180","16.36","100%","82.28","10","100%"
"Epstein, Mike","Ill","RB,FLX","So","22","FA","Kent Sat 12:00PM","168","14","100%","139.79","5","0%"
"Weber, Mike","OHSt","RB,FLX","Jr","23","FA","OreSt Sat 12:00PM","168","14","100%","108.41","9","100%"
"Young, Toren","Iowa","RB,FLX","So","24","FA","NIU Sat 3:30PM","168","14","100%","136.64","5","0%"
"Morgan Jr., Stanley","Neb","WR,FLX","Sr","25","FA","Akr Sat 8:00PM","156","13","100%","61.13","9","100%"
"Blackshear, Raheem","Rut","RB,FLX","So","26","FA","TxSt Sat 12:00PM","150","12.5","7%","344.2","9","0%"
"Blough, David","Purd","QB,FLX","Sr","27","FA","NW Thu 8:00PM","150","15","0%","-","6","0%"
"Davis III, Felton","MSU","WR,FLX","Sr","28","FA","UtSt Fri 7:00PM","150","12.5","100%","99.7","3","100%"
"Johnson, Ty","MD","RB,FLX","Sr","29","FA","Tex Sat 12:00PM","150","12.5","100%","136.08","5","0%"
"Evans, Chris","Mich","RB,FLX","Jr","30","FA","@ND Sat 7:30PM","144","12","100%","169.99","9","0%"
"Kelly-Martin, Ivory","Iowa","RB,FLX","So","31","FA","NIU Sat 3:30PM","144","12","15%","355.21","5","0%"
"Ellison, Morgan","Ind","RB,FLX","So","32","FA","@FLInt Sat 7:00PM","126","10.5","68%","270","10","0%"
"Johnson, Juwan","PSU","WR,FLX","Jr","33","FA","App Sat 3:30PM","126","10.5","100%","103.77","6","0%"
"Johnson, Tyler","Minn","WR,FLX","Jr","34","FA","NMSt Thu 7:00PM","126","10.5","100%","198.21","5","0%"
"Black, Tarik","Mich","WR,FLX","So","35","FA","@ND Sat 7:30PM","120","10","100%","158.6","9","0%"
"Spielman, JD","Neb","WR,FLX","So","36","FA","Akr Sat 8:00PM","120","10","100%","179.14","9","0%"
"Nuernberger, Sean","OHSt","K","Sr","37","FA","OreSt Sat 12:00PM","117","9.75","100%","115.08","9","100%"
"Skowronek, Bennett","NW","WR,FLX","Jr","38","FA","@Purd Thu 8:00PM","114","9.5","12%","-","4","0%"
"Bell, Greg","Neb","RB,FLX","Jr","39","FA","Akr Sat 8:00PM","108","9","100%","199.94","9","0%"
"Hilliman, Jonathan","Rut","RB,FLX","Sr","40","FA","TxSt Sat 12:00PM","108","9","62%","-","9","0%"
"Cephus, Quintez","Wisc","WR,FLX","Jr","41","FA","W Ky Fri 9:00PM","102","8.5","9%","259.28","5","0%"
"Fant, Noah","Iowa","TE,FLX","Jr","42","FA","NIU Sat 3:30PM","102","8.5","100%","57.4","5","100%"
"Morgan, Tanner","Minn","QB,FLX","Fr","43","FA","NMSt Thu 7:00PM","100","11.11","0%","-","5","0%"
"Jacobs, Taivon","MD","WR,FLX","Sr","44","FA","Tex Sat 12:00PM","96","8","13%","268.6","5","0%"
"McFarland, Anthony","MD","RB,FLX","Fr","45","FA","Tex Sat 12:00PM","96","8","3%","500.1","5","0%"
"Peoples-Jones, Donovan","Mich","WR,FLX","So","46","FA","@ND Sat 7:30PM","96","8","86%","151.46","9","0%"
"Thompkins, DeAndre","PSU","WR,FLX","Sr","47","FA","App Sat 3:30PM","96","8","3%","365.5","6","0%"
