"Player","Team","Position","Year","Rk","Status","Opponent","FPts","FP/G","%D","ADP","Bye","GP","Yds","TD","Int","2Pa","Yds","TD","2Rc","Yds","TD","2Ru","FL","RtY","RtT"
"Taylor, Jonathan","Wisc","RB,FLX","So","1","FA","W Ky Fri 9:00PM","378","31.5","100%","7.23","5","12","0","0","0","0","145","1","0","1840","15","0","0","0","0"
"McSorley, Trace","PSU","QB,FLX","Sr","2","FA","App Sat 3:30PM","518","43.17","100%","21.55","6","12","3175","24","8","0","0","0","0","422","7","0","0","0","0"
"Dobbins, J.K.","OHSt","RB,FLX","So","3","FA","OreSt Sat 12:00PM","300","25","100%","23.28","9","12","0","0","0","0","165","1","0","1441","14","0","0","0","0"
"Haskins, Dwayne","OHSt","QB,FLX","So","4","FA","OreSt Sat 12:00PM","574","47.83","100%","35.07","9","12","3629","31","7","0","0","0","0","280","6","0","0","0","0"
"Hornibrook, Alex","Wisc","QB,FLX","Jr","5","FA","W Ky Fri 9:00PM","336","28","100%","49.71","5","12","2520","23","12","0","0","0","0","0","0","0","0","0","0"
"Sanders, Miles","PSU","RB,FLX","Jr","6","FA","App Sat 3:30PM","228","19","100%","56.81","6","12","0","0","0","0","188","0","0","1166","14","0","0","0","0"
"Fant, Noah","Iowa","TE,FLX","Jr","7","FA","NIU Sat 3:30PM","102","8.5","100%","57.4","5","12","0","0","0","0","564","9","0","0","0","0","0","0","0"
"Morgan Jr., Stanley","Neb","WR,FLX","Sr","8","FA","Akr Sat 8:00PM","156","13","100%","61.13","9","12","0","0","0","0","911","10","0","0","0","0","0","0","0"
"Larkin, Jeremy","NW","RB,FLX","So","9","FA","@Purd Thu 8:00PM","246","20.5","100%","66.6","4","12","0","0","0","0","343","2","0","1128","13","0","0","0","0"
"Smith, Rodney","Minn","RB,FLX","Sr","10","FA","NMSt Thu 7:00PM","228","19","100%","70.77","5","12","0","0","0","0","170","1","0","1201","10","0","0","0","0"
"Westbrook, Nick","Ind","WR,FLX","Jr","11","FA","@FLInt Sat 7:00PM","180","16.36","100%","82.28","10","11","0","0","0","0","1117","8","0","0","0","0","0","0","0"
"Higdon, Karan","Mich","RB,FLX","Sr","12","FA","@ND Sat 7:30PM","180","15","100%","91.65","9","12","0","0","0","0","106","1","0","1029","10","0","0","0","0"
